encoder,dict_learner,dict_learner_impl,implementation,dataset,atoms,classifier,source,n_seeds,macro_precision,macro_recall,macro_f1,macro_pr_auc,minority_precision,minority_recall,minority_f1,minority_pr_auc,accuracy,roc_auc,mcc,macro_f1_std,minority_f1_std,minority_pr_auc_std,mcc_std,roc_auc_std,threshold,fit_seconds,run_started,run_id
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,32,LogisticRegression,mccv,5,0.63612,0.653888,0.642157,0.614885,0.304578,0.347692,0.320495,0.244804,0.931348,0.807921,0.287769,0.009119,0.020717,0.015933,0.020115,0.009374,,29.2,20260729_191847,mc_cv_wl_fddl_gpu_nci_full_atoms32_20260729_191847_20260729_192408
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,32,GradientBoosting,mccv,5,0.646161,0.654432,0.649513,0.626555,0.324698,0.344615,0.333104,0.269478,0.935174,0.799069,0.299977,0.021294,0.040165,0.043848,0.042107,0.014261,,29.2,20260729_191847,mc_cv_wl_fddl_gpu_nci_full_atoms32_20260729_191847_20260729_192408
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,32,LinearSVM,mccv,5,0.630116,0.65144,0.637663,0.615945,0.292773,0.344615,0.312529,0.246715,0.929471,0.809207,0.279136,0.007757,0.019099,0.016375,0.018582,0.00986,,29.2,20260729_191847,mc_cv_wl_fddl_gpu_nci_full_atoms32_20260729_191847_20260729_192408
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,32,RandomForest,mccv,5,0.708663,0.683814,0.692827,0.6798,0.447066,0.393077,0.413278,0.374062,0.947266,0.827687,0.389512,0.015521,0.027414,0.034999,0.033343,0.017958,,29.2,20260729_191847,mc_cv_wl_fddl_gpu_nci_full_atoms32_20260729_191847_20260729_192408
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,64,LogisticRegression,mccv,5,0.647517,0.681918,0.658755,0.643187,0.324563,0.407692,0.35436,0.300482,0.93041,0.822703,0.324807,0.00667,0.011851,0.025118,0.013425,0.013619,,,20260728_200758,mc_cv_wl_fddl_gpu_nci_full_atoms64_20260728_200758_20260728_201435
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,64,GradientBoosting,mccv,5,0.643523,0.656197,0.64789,0.629743,0.31921,0.35,0.330702,0.273888,0.933658,0.813762,0.298169,0.012321,0.024002,0.022108,0.02517,0.007359,,,20260728_200758,mc_cv_wl_fddl_gpu_nci_full_atoms64_20260728_200758_20260728_201435
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,64,LinearSVM,mccv,5,0.659676,0.704889,0.678041,0.651214,0.346736,0.452308,0.391114,0.316139,0.933766,0.829467,0.361163,0.006902,0.010723,0.019329,0.010248,0.011245,,,20260728_200758,mc_cv_wl_fddl_gpu_nci_full_atoms64_20260728_200758_20260728_201435
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,64,RandomForest,mccv,5,0.72645,0.698254,0.709825,0.688874,0.481316,0.419231,0.445237,0.390692,0.951092,0.842611,0.422477,0.02038,0.03932,0.020512,0.039881,0.006845,,,20260728_200758,mc_cv_wl_fddl_gpu_nci_full_atoms64_20260728_200758_20260728_201435
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,128,LogisticRegression,mccv,5,0.657195,0.69209,0.670108,0.635868,0.343021,0.425385,0.375211,0.283918,0.933766,0.835436,0.345637,0.012095,0.024045,0.010945,0.025578,0.00744,,,20260728_214306,mc_cv_wl_fddl_gpu_nci_full_atoms128_20260728_214306_20260728_215203
wl,fddl,fddl_gpu,wl_fddl_gpu,nci_full,128,GradientBoosting,mccv,5,0.66894,0.666629,0.66455,0.653211,0.369122,0.364615,0.360437,0.319127,0.9403,0.828441,0.332861,0.01973,0.041165,0.04136,0.040237,0.013549,,,20260728_214306,mc_cv_wl_fddl_gpu_nci_full_atoms128_20260728_214306_20260728_215203
